Kab/Kota,kerja,pertanian,hotel,ipm,pmdn,pma,wisatawan,penduduk,y,latitude,longitude,k
Pacitan,343078,619.99,13,73.36,25890,0,444876,382,8153.2,-8.179782,111.105654,
Ponorogo,490113,697.4,39,72.61,0,1200,331864,606,10557.3,-7.866688,111.46661,
Trenggalek,414400,637.35,11,74.44,2688,0,579957,544,9482.2,-8.08641,111.713129,
Tulungagung,551362,570.54,21,74.49,21079,0,139693,871,20144.4,-8.091221,111.964173,
Blitar,626254,651.52,8,74.92,0,0,1114787,644,18965.2,-8.095463,112.160906,
Kediri,791101,666.68,9,73.29,62439,0,1173583,998,21824.1,-7.848016,112.017829,
Malang,1310685,612.85,104,72.34,2515089,297295,2407242,721,49711.4,-7.96662,112.632632,
Lumajang,515451,598.78,10,69.5,0,13500,810369,564,16940.5,-8.132768,113.224557,
Jember,1169366,626.6,26,66.6,86000,2003,661772,718,39224.5,-8.173312,113.700931,
Banyuwangi,879516,597.69,50,71.02,894018,203230,1057952,439,39649.9,-8.219233,114.369227,
Bondowoso,394186,566.54,14,65.39,0,0,23825,484,10140.1,-7.918759,113.820641,
Situbondo,355849,426.83,22,65.73,4020640,0,256017,397,10005.3,-7.705053,113.995279,
Probolinggo,618642,403.33,52,65.19,0,6107,503150,650,17838.2,-7.776423,113.203713,
Pasuruan,831812,708,442,69.77,1209858,2105170,1166741,1043,74928.8,-7.646919,112.899923,
Sidoarjo,1039833,141.67,56,78.15,2544860,2223834,1597457,2838,99975.7,-7.449772,112.70155,
Mojokerto,545669,707.13,80,75.26,1349695,324637,1476639,1079,41579.2,-7.563831,112.476829,
Jombang,593902,565.48,17,74.47,62500,2000,1520121,1091,20672.3,-7.574087,112.28609,
Nganjuk,549393,684.81,13,72.49,12450,21778,246824,795,13473.8,-7.604372,111.899348,
Madiun,366133,589.15,5,71.46,87095,304,351209,596,9654.1,-7.631059,111.530016,
Magetan,353328,1065.23,103,74.34,0,0,699867,879,9789.6,-7.649341,111.338159,
Ngawi,472088,732.95,10,70.86,0,0,20001,587,10203,-7.419073,111.457399,
Bojonegoro,695281,725.03,16,68.32,0,47000,47896,527,38993.7,-7.152479,111.886929,
Tuban,617366,926.46,17,70.04,1904000,315155,3806843,573,33836.7,-6.89491,112.041675,
Lamongan,644188,723.34,7,71.81,374090,7950,1839902,674,19836.1,-7.118111,112.414981,
Gresik,619688,768.61,15,76.36,19657252,1918790,2695141,981,71304.5,-7.165244,112.651988,
Bangkalan,474876,579.38,2,66.19,1191143,1583,2530454,716,16204,-7.025282,112.751982,
Sampang,469711,381.59,4,62.39,0,15000,37232,743,11622,-7.193902,113.246701,
Pamekasan,480280,485.66,12,67.17,0,0,129243,1032,8369.6,-7.154249,113.47391,
Sumenep,629431,532.94,11,66.89,0,1613,841851,508,20162.8,-7.009557,113.858299,
Kota Kediri,136546,632.37,21,77.8,0,376,364889,4129,65407,-7.848016,112.017829,
Kota Blitar,68609,120.35,19,78.7,0,0,2095321,4112,3445.2,-8.095463,112.160906,
Kota Malang,435058,300.66,64,78.78,75000,2226,271416,7644,37541.7,-7.96662,112.632632,
Kota Probolinggo,106309,175.57,11,75.94,11100,0,585701,3998,5911.3,-7.776423,113.203713,
Kota Pasuruan,98160,61.2,4,74.75,133559,2800,220110,5060,4314.1,-7.646919,112.899923,
Kota Mojokerto,65898,64.22,8,78.66,0,0,299199,6190,3566.4,-7.470475,112.440133,
Kota Madiun,90103,150.47,30,78.17,1038184,373,23055,5121,7470.7,-7.631059,111.530016,
Kota Surabaya,1483343,352.61,109,78.97,1675833,482867,5416769,8551,286057.2,-7.257472,112.752088,
